Fecha,Simbolo,PrecioEntrada,StopLoss,TakeProfit,Estado
2026-09-06,LMT.BA,41500.0,36582.76,48875.86,En seguimiento
2026-09-06,RTX.BA,63675.0,56034.0,75136.5,En seguimiento
