Fecha,Simbolo,PrecioEntrada,StopLoss,TakeProfit,Estado
2026-09-06,GE.BA,66775.0,63178.57,72169.64,En seguimiento
2026-09-06,LMT.BA,41500.0,39377.15,44684.28,En seguimiento
2026-09-06,RTX.BA,63675.0,61128.0,67495.5,En seguimiento
